Date,Region,"New Cases","Total Cases","Confirmed Cases","Active Cases","Inpatient Hospitalizations","ICU Hospitalizations","Recovered Cases",Deaths
2020/05/09,"Central (excluding Saskatoon)",1,12,12,1,0,0,10,1
2020/05/09,Saskatoon,0,163,163,15,4,4,146,2
2020/05/09,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/09,Regina,0,76,76,1,0,0,74,1
2020/05/09,Total,9,553,553,207,10,5,340,6
2020/05/10,"Far North",9,193,193,156,0,0,36,1
2020/05/10,North,2,105,105,37,5,0,67,1
2020/05/10,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1
2020/05/10,Saskatoon,0,163,163,14,3,4,147,2
2020/05/10,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/10,Regina,0,76,76,1,0,0,74,1
2020/05/10,Total,11,564,564,209,8,4,349,6
2020/05/11,"Far North",4,197,197,151,0,0,45,1
2020/05/11,North,0,105,105,33,5,0,71,1
2020/05/11,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1
2020/05/11,Saskatoon,0,163,163,13,3,3,148,2
2020/05/11,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/11,Regina,0,76,76,1,0,0,74,1
2020/05/11,Total,4,568,568,199,8,3,363,6
2020/05/12,"Far North",5,202,202,151,0,0,50,1
2020/05/12,North,0,105,105,29,5,0,75,1
2020/05/12,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1
2020/05/12,Saskatoon,0,163,163,12,3,3,149,2
2020/05/12,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/12,Regina,0,76,76,0,0,0,75,1
2020/05/12,Total,5,573,573,193,8,3,374,6
2020/05/13,"Far North",4,206,206,149,0,0,56,1
2020/05/13,North,0,106,106,25,4,0,80,1
2020/05/13,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1
2020/05/13,Saskatoon,0,163,163,11,3,3,150,2
2020/05/13,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/13,Regina,0,75,75,0,0,0,74,1
2020/05/13,Total,4,577,577,186,7,3,385,6
2020/05/14,"Far North",4,210,210,146,0,0,63,1
2020/05/14,North,0,106,106,21,3,0,84,1
2020/05/14,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1
2020/05/14,Saskatoon,0,163,163,9,3,3,152,2
2020/05/14,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/14,Regina,1,76,76,1,1,0,74,1
2020/05/14,Total,5,582,582,178,7,3,398,6
2020/05/15,"Far North",8,218,218,147,0,0,70,1
2020/05/15,North,0,106,106,18,1,0,87,1
2020/05/15,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1
2020/05/15,Saskatoon,0,163,163,9,3,3,152,2
2020/05/15,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/15,Regina,0,76,76,1,2,0,74,1
2020/05/15,Total,8,590,590,176,6,3,408,6
